feature_set,model,feature,importance
elo_only,random_forest,elo_diff_left_minus_right,1.0
recent_form_only,random_forest,recent_win_rate_diff_left_minus_right,1.0
rolling_stats_only,random_forest,rolling_Aces_diff_left_minus_right,0.09506170527294586
rolling_stats_only,random_forest,rolling_Double Faults_diff_left_minus_right,0.09050523972700524
rolling_stats_only,random_forest,rolling_1st serve percentage_diff_left_minus_right,0.0977138735083902
rolling_stats_only,random_forest,rolling_1st serve points won_diff_left_minus_right,0.09766004132806186
rolling_stats_only,random_forest,rolling_2nd serve points won_diff_left_minus_right,0.09970910577956807
rolling_stats_only,random_forest,rolling_Break Points Saved_diff_left_minus_right,0.10406771468353689
rolling_stats_only,random_forest,rolling_Break Points Converted_diff_left_minus_right,0.10477573198836652
rolling_stats_only,random_forest,rolling_Service Points Won_diff_left_minus_right,0.10376025821671717
rolling_stats_only,random_forest,rolling_Return Points Won_diff_left_minus_right,0.09752107440532512
rolling_stats_only,random_forest,rolling_Total Points Won_diff_left_minus_right,0.10922525509008292
market_only,random_forest,market_prob_left,0.3340432012541431
market_only,random_forest,market_prob_right,0.34496796840547733
market_only,random_forest,market_prob_diff_left_minus_right,0.32098883034037956
surface_rolling_only,random_forest,surface_rolling_Aces_diff_left_minus_right,0.0970959352462397
surface_rolling_only,random_forest,surface_rolling_Double Faults_diff_left_minus_right,0.09207836760602348
surface_rolling_only,random_forest,surface_rolling_1st serve percentage_diff_left_minus_right,0.0985016033288804
surface_rolling_only,random_forest,surface_rolling_1st serve points won_diff_left_minus_right,0.09784225534937838
surface_rolling_only,random_forest,surface_rolling_2nd serve points won_diff_left_minus_right,0.09707474959933982
surface_rolling_only,random_forest,surface_rolling_Break Points Saved_diff_left_minus_right,0.10460977149537126
surface_rolling_only,random_forest,surface_rolling_Break Points Converted_diff_left_minus_right,0.10241573768385914
surface_rolling_only,random_forest,surface_rolling_Service Points Won_diff_left_minus_right,0.1001387472328883
surface_rolling_only,random_forest,surface_rolling_Return Points Won_diff_left_minus_right,0.10092881913874001
surface_rolling_only,random_forest,surface_rolling_Total Points Won_diff_left_minus_right,0.10931401331927953
similar_elo_only,random_forest,rolling_similar_elo_Aces_diff_left_minus_right,0.09255683930953257
similar_elo_only,random_forest,rolling_similar_elo_Double Faults_diff_left_minus_right,0.09100417203184893
similar_elo_only,random_forest,rolling_similar_elo_1st serve percentage_diff_left_minus_right,0.09640866047486091
similar_elo_only,random_forest,rolling_similar_elo_1st serve points won_diff_left_minus_right,0.09684854537498626
similar_elo_only,random_forest,rolling_similar_elo_2nd serve points won_diff_left_minus_right,0.10126979183242577
similar_elo_only,random_forest,rolling_similar_elo_Break Points Saved_diff_left_minus_right,0.10237797440092031
similar_elo_only,random_forest,rolling_similar_elo_Break Points Converted_diff_left_minus_right,0.10236296758176425
similar_elo_only,random_forest,rolling_similar_elo_Service Points Won_diff_left_minus_right,0.10146977558930512
similar_elo_only,random_forest,rolling_similar_elo_Return Points Won_diff_left_minus_right,0.10409375761631694
similar_elo_only,random_forest,rolling_similar_elo_Total Points Won_diff_left_minus_right,0.11160751578803887
elo_recent,random_forest,elo_diff_left_minus_right,0.9284741322104243
elo_recent,random_forest,recent_win_rate_diff_left_minus_right,0.07152586778957573
